id,name,description,address,supplier_type,supplied_mat_ids:id,supplied_eqp_ids:id
cpm_supplier.cemex,"CEMEX","Cement, concrete, aggregates, and other building materials.","123 Example St, Houston, TX","material_supplier","cpm_res_mat.ready_mix_concrete,cpm_res_mat.reinforced_concrete,cpm_res_mat.structural_steel",""
cpm_supplier.lafargeholcim,"LafargeHolcim","Cement, aggregates, ready-mix concrete.","456 Sample Ave, Zurich, Switzerland","material_supplier","cpm_res_mat.granite,cpm_res_mat.marble",""
cpm_supplier.vulcan,"Vulcan Materials Company","Construction aggregates, asphalt, and concrete.","789 Quarry Rd, Birmingham, AL","material_supplier","cpm_res_mat.laminated_wood,cpm_res_mat.plywood",""
cpm_supplier.crh,"CRH (Oldcastle)","Wide range of building materials, including concrete products and glass.","101 Builder Dr, Dublin, Ireland","material_supplier","cpm_res_mat.foam_boards,cpm_res_mat.fiberglass_insulation",""
cpm_supplier.saintgobain,"Saint-Gobain","Gypsum board, insulation, and other materials.","202 Glass Ln, Courbevoie, France","material_supplier","cpm_res_mat.pvc_sheets,cpm_res_mat.polycarbonate_panels,cpm_res_mat.tempered_glass",""
cpm_supplier.heidelberg,"Heidelberg Materials","Cement, aggregates, and concrete.","303 Aggregate Way, Heidelberg, Germany","material_supplier","cpm_res_mat.metal_roof_sheets,cpm_res_mat.asphalt_shingles",""
cpm_supplier.boral,"Boral","Fly ash, roofing, and construction materials.","404 Material Blvd, Sydney, Australia","material_supplier","cpm_res_mat.concrete_blocks,cpm_res_mat.clay_bricks",""
cpm_supplier.usg,"USG Corporation","Drywall, ceilings, and other interior materials.","505 Drywall St, Chicago, IL","material_supplier","cpm_res_mat.aluminum_sheets,cpm_res_mat.laminated_glass",""
cpm_supplier.martinmarietta,"Martin Marietta Materials","Aggregates and heavy building materials.","606 Rock Rd, Raleigh, NC","material_supplier","cpm_res_mat.interior_paint,cpm_res_mat.ceramic_tiles",""
cpm_supplier.kingspan,"Kingspan","Insulation and building envelope solutions.","707 Insulation Ln, Kingscourt, Ireland","material_supplier","cpm_res_mat.reinforced_concrete,cpm_res_mat.structural_steel,cpm_res_mat.ready_mix_concrete",""
cpm_supplier.caterpillar,"Caterpillar","Construction machinery and equipment including excavators, loaders, and bulldozers.","123 Machinery St, Peoria, IL","equipment_supplier","","cpm_res_eqp.excavator,cpm_res_eqp.bulldozer"
cpm_supplier.komatsu,"Komatsu","Heavy equipment like hydraulic excavators, dump trucks, and dozers.","456 Digging Ln, Tokyo, Japan","equipment_supplier","","cpm_res_eqp.crane,cpm_res_eqp.forklift"
cpm_supplier.volvo,"Volvo Construction Equipment","Excavators, wheel loaders, and articulated haulers.","789 Loader Rd, Gothenburg, Sweden","equipment_supplier","","cpm_res_eqp.road_roller,cpm_res_eqp.asphalt_paver"
cpm_supplier.jcb,"JCB","Construction and agricultural equipment like backhoe loaders and telescopic handlers.","101 Builder Ave, Staffordshire, UK","equipment_supplier","","cpm_res_eqp.rotary_drill_rig,cpm_res_eqp.rock_drill"
cpm_supplier.hitachi,"Hitachi Construction Machinery","Excavators, dump trucks, and mining equipment.","202 Excavator St, Tokyo, Japan","equipment_supplier","","cpm_res_eqp.plate_compactor,cpm_res_eqp.tamping_rammer"
cpm_supplier.sany,"SANY","Heavy equipment such as cranes, concrete pumps, and excavators.","303 Crane Blvd, Changsha, China","equipment_supplier","","cpm_res_eqp.hydraulic_hammer,cpm_res_eqp.wrecking_ball"
cpm_supplier.liebherr,"Liebherr","Wide range of construction equipment including cranes and earth-moving machinery.","404 Crane Rd, Bulle, Switzerland","equipment_supplier","","cpm_res_eqp.scissor_lift,cpm_res_eqp.cherry_picker"
cpm_supplier.john_deere,"John Deere","Construction equipment including loaders, excavators, and graders.","505 Tractor Ln, Moline, IL","equipment_supplier","","cpm_res_eqp.concrete_mixer,cpm_res_eqp.concrete_pump"
cpm_supplier.terex,"Terex Corporation","Construction equipment such as material handlers, cranes, and aerial work platforms.","606 Worksite Blvd, Westport, CT","equipment_supplier","","cpm_res_eqp.excavator,cpm_res_eqp.road_roller,cpm_res_eqp.bulldozer"
cpm_supplier.case,"CASE Construction Equipment","Skid steers, compact loaders, and backhoes.","707 Compact St, Racine, WI","equipment_supplier","","cpm_res_eqp.forklift,cpm_res_eqp.crane,cpm_res_eqp.hydraulic_hammer"
